station_id,name,state,lat,lon,elevation_m
USW00093826,BARIN FLD NAAS,AL,30.4,-87.6,21.9
USW00003850,CAIRNS FLD FT RUCKER,AL,31.2667,-85.7167,91.1
USW00063891,CLANTON 2 NE,AL,32.8517,-86.6114,178.0
USW00013885,EVERGREEN FAA AP,AL,31.4167,-87.0333,78.0
USW00063870,FLORALA MUNI AP,AL,31.0447,-86.312,90.8
USW00063892,GAINESVILLE 2 NE,AL,32.8369,-88.1375,32.6
USW00013821,MAXWELL FLD,AL,32.3833,-86.35,64.0
USW00073801,NORTHPORT 2 S,AL,33.2125,-87.5914,45.7
USW00063895,RUSSELLVILLE 4 SSE,AL,34.4536,-87.7103,219.5
USW00003878,TROY MUNI AP,AL,31.8575,-86.0103,118.6
USW00013814,BLYTHEVILLE AFB,AR,35.9667,-89.95,79.9
USW00000133,CLINTON MUNI AP,AR,35.6,-92.45,157.3
USW00093992,EL DORADO GOODWIN FLD,AR,33.2208,-92.8142,78.0
USW00013964,FT SMITH RGNL AP,AR,35.3333,-94.3653,136.6
USW00003952,LITTLE ROCK,AR,34.8364,-92.2622,197.8
USW00013963,LITTLE ROCK AP ADAMS FLD,AR,34.7272,-92.2358,76.5
USW00053921,MT IDA,AR,34.5467,-93.5781,214.0
USW00013925,STUTTGART MUNI AP,AR,34.6003,-91.5744,68.3
USW00013977,TEXARKANA WEBB FLD,AR,33.4561,-93.9878,115.8
USW00053006,AMADO 23 W,AZ,31.6922,-111.4481,1005.8
USW00053160,CAMP VERDE 3 N,AZ,34.6136,-111.8431,1046.7
USW00023109,DAVIS MONTHAN AFB,AZ,32.1667,-110.8833,808.9
USW00093026,DOUGLAS (BISBEE) INTL AP,AZ,31.4583,-109.6067,1247.9
USW00053132,ELGIN 5 S,AZ,31.5908,-110.5086,1466.4
USW00023166,FLAGSTAFF WB CITY,AZ,35.2,-111.6667,2110.1
USW00053146,FT HUACHUCA PIONEER AIRFIELD,AZ,31.6056,-110.4281,1445.4
